100.0,0.0 0.0,0.0
100.0,0.0 0.0,0.0
106.95,3.47131099154 0.0,0.0
107.45,2.56443283973 0.0,0.0
114.8,3.80581272875 0.0,0.0
112.45,4.71810622133 0.0,0.0
120.7,3.48077426353 0.0,0.0
118.65,5.27431711719 0.0,0.0
127.15,6.25993946498 0.0,0.0
126.6,5.87949156413 0.15,0.48936048493
136.85,7.56219823234 0.0,0.0
136.35,9.26950291065 3.3,5.63914887195
147.35,7.05075583854 0.0,0.0
142.75,10.7403567519 4.7,5.59228792271
154.7,6.94413800493 0.0,0.0
160.1,9.84565092339 17.65,6.56365591324
170.1,9.17605579756 0.0,0.0
165.55,10.1746589235 23.3,5.01681383476
178.4,11.4266539745 0.0,0.0
180.7,7.95447573449 34.35,6.36003144646
197.15,15.6651641683 0.0,0.0
192.7,15.9608072609 43.65,8.56722641355
225.55,17.8162403737 0.0,0.0
199.4,10.1224087002 53.05,6.08254621199
255.45,18.9110800159 0.0,0.0
221.4,12.8407246885 66.4,7.63234115976
292.7,23.2765976895 0.0,0.0
229.85,12.8402123281 75.55,5.32595432516
344.1,21.2476624101 0.0,0.0
247.1,14.4873810789 89.55,7.97017466625
409.65,30.1893585295 0.0,0.0
254.65,15.9283758712 98.2,8.03020613224
499.55,34.6645200078 0.0,0.0
278.7,16.5850281246 115.7,8.16346159807
696.05,58.0920095964 0.0,0.0
300.55,25.0146799005 131.65,11.4490863805
1022.85,88.3773458707 0.0,0.0
320.2,16.9600148957 147.75,8.46587577464
2019.95,216.507803433 0.0,0.0
350.3,17.8564450991 167.7,8.30408903715
