100.0,0.0 0.0,0.0
100.0,0.0 0.0,0.0
107.02,2.24508533541 0.0,0.0
106.28,3.16898232554 0.0,0.0
113.78,3.89814189122 0.0,0.0
111.62,3.70267415774 0.0,0.0
119.76,5.13713967901 0.0,0.0
120.36,4.56588950138 0.0,0.0
127.5,6.7104852466 0.0,0.0
125.88,5.75925165207 0.0,0.0
136.18,7.24692756854 0.0,0.0
136.92,6.70315186296 0.0,0.0
146.6,7.90246667768 0.0,0.0
143.96,8.39572291499 0.0,0.0
157.34,9.6205774361 0.0,0.0
154.26,8.65862787829 0.0,0.0
170.0,11.2049551721 0.0,0.0
170.08,10.7263551068 0.46,1.83180517634
187.38,11.2538247467 0.0,0.0
185.24,13.4081303389 2.92,4.34172917683
199.96,13.0477302741 0.0,0.0
211.88,13.373198906 18.16,11.1343557313
223.5,19.6107529854 0.0,0.0
229.36,17.9929237792 30.64,12.1348881414
258.08,18.1286108296 0.0,0.0
251.74,18.9981846609 50.68,10.6683587093
286.86,18.7877619742 0.0,0.0
277.98,18.4352036792 67.84,11.942652083
337.72,25.5630792435 0.0,0.0
312.1,27.8672142966 91.64,16.5180915041
419.86,39.9356676546 0.0,0.0
339.06,22.2145475409 113.42,12.5244088214
495.84,43.3850157524 0.0,0.0
364.46,31.5343738592 135.96,14.9870147876
677.62,59.0399000331 0.0,0.0
407.92,27.7568450833 166.42,15.1024933744
1000.66,92.5878755231 0.0,0.0
442.54,35.2814977238 196.26,16.0849911027
2062.32,167.635712916 0.0,0.0
494.68,38.404102672 233.9,19.1676278966
